post_id,label_id,label
49663752,2,Debug
49231916,4,Architecture
52835727,2,Debug
53573483,1,How-to
53858394,2,Debug
52447392,2,Debug
51550289,3,Conceptual
51224850,2,Debug
48262352,1,How-to
50303403,1,How-to
53070368,1,How-to
49266357,3,Conceptual
52056149,3,Conceptual
49275714,3,Conceptual
49438964,1,How-to
51449732,2,Debug
48300444,1,How-to
53009502,1,How-to
48545690,1,How-to
53066425,2,Debug
51469952,2,Debug
49261310,1,How-to
51772375,2,Debug
53483179,1,How-to
53899378,1,How-to
50805829,2,Debug
52205663,2,Debug
49876841,2,Debug
51798906,1,How-to
48180989,1,How-to
51731112,2,Debug
49534019,2,Debug
51856234,3,Conceptual
49415812,1,How-to
48128876,2,Debug
50574960,2,Debug
51897306,2,Debug
53132523,2,Debug
53184834,1,How-to
50916647,2,Debug
53290681,1,How-to
50252721,1,How-to
51637838,2,Debug
52062417,2,Debug
48110758,2,Debug
53469649,2,Debug
53327822,1,How-to
49852012,2,Debug
53853289,2,Debug
48092440,2,Debug
51695677,2,Debug
51794663,2,Debug
50236164,2,Debug
53363119,2,Debug
51878369,2,Debug
50577464,3,Conceptual
48118230,2,Debug
48312377,2,Debug
48740261,2,Debug
52236980,1,How-to
49387174,1,How-to
48966694,2,Debug
53637740,2,Debug
50718947,3,Conceptual
48277037,2,Debug
51214404,1,How-to
52789293,2,Debug
52358335,2,Debug
52911036,2,Debug
53256705,2,Debug
49852615,3,Conceptual
51431652,3,Conceptual
48373739,3,Conceptual
50163855,1,How-to
53641685,3,Conceptual
49923586,2,Debug
50248894,2,Debug
49171999,3,Conceptual
50306530,1,How-to
49002697,2,Debug
53195668,2,Debug
51945913,2,Debug
53522832,2,Debug
49033938,2,Debug
51224626,1,How-to
48171633,2,Debug
52876542,2,Debug
52338075,2,Debug
50001598,3,Conceptual
52298746,1,How-to
53336286,2,Debug
50750959,2,Debug
53889636,2,Debug
51672752,2,Debug
50795639,2,Debug
49220444,3,Conceptual
51582151,2,Debug
48549995,2,Debug
51236498,1,How-to
50106376,2,Debug
49325097,3,Conceptual
48066324,3,Conceptual
50213446,1,How-to
48439290,3,Conceptual
50589161,2,Debug
53451184,2,Debug
48557316,2,Debug
53287817,2,Debug
50613331,2,Debug
49692179,1,How-to
52435825,3,Conceptual
52195753,3,Conceptual
53739678,2,Debug
51655460,2,Debug
48151332,2,Debug
48380164,1,How-to
51467950,1,How-to
50685291,3,Conceptual
50966659,2,Debug
51587242,1,How-to
51366469,2,Debug
52714858,1,How-to
52413380,2,Debug
51873425,1,How-to
52015140,3,Conceptual
49243460,2,Debug
53097118,1,How-to
50909765,2,Debug
51169579,1,How-to
51186790,3,Conceptual
50831988,2,Debug
51801375,1,How-to
50348599,2,Debug
48613720,1,How-to
51894245,2,Debug
50296799,2,Debug
53056750,2,Debug
51099023,2,Debug
51708667,3,Conceptual
51967342,1,How-to
50412844,2,Debug
48460792,1,How-to
52945449,2,Debug
51032424,2,Debug
49383665,2,Debug
48245706,2,Debug
52149089,1,How-to
51838850,3,Conceptual
52052138,1,How-to
49221456,2,Debug
52633845,1,How-to
50589214,3,Conceptual
50718624,2,Debug
49481913,2,Debug
48086336,3,Conceptual
53266960,2,Debug
48612635,2,Debug
53445141,2,Debug
50251396,2,Debug
49739842,2,Debug
51278052,2,Debug
50393610,2,Debug
48820824,1,How-to
53734410,2,Debug
53337654,2,Debug
53351141,2,Debug
50272150,1,How-to
53301399,2,Debug
48994807,2,Debug
53097889,2,Debug
50835610,2,Debug
53477927,1,How-to
52343895,2,Debug
48951662,2,Debug
53914505,3,Conceptual
48287623,2,Debug
50173780,2,Debug
50870068,2,Debug
53129148,1,How-to
52117541,1,How-to
50006594,3,Conceptual
50574157,1,How-to
53776678,2,Debug
53045127,2,Debug
49720307,2,Debug
49057327,2,Debug
51621185,1,How-to
49442523,2,Debug
48572429,3,Conceptual
50415230,2,Debug
49401702,2,Debug
48237721,2,Debug
53275582,2,Debug
53321134,2,Debug
51769538,2,Debug
48357141,3,Conceptual
50319677,1,How-to
51625942,2,Debug
52205003,2,Debug
51848805,1,How-to
50103322,1,How-to
50862261,1,How-to
51762958,2,Debug
48661491,2,Debug
50569282,2,Debug
52205245,1,How-to
53885510,2,Debug
50878585,1,How-to
53979446,2,Debug
52992257,3,Conceptual
53081821,2,Debug
53213214,1,How-to
51131144,3,Conceptual
52962701,2,Debug
50809607,2,Debug
50409392,2,Debug
52385528,2,Debug
50963232,2,Debug
50990138,3,Conceptual
51435519,3,Conceptual
52912567,2,Debug
53801270,2,Debug
49803968,2,Debug
53535566,2,Debug
49814766,2,Debug
52329550,1,How-to
52028951,1,How-to
52153561,2,Debug
48243636,3,Conceptual
50068701,1,How-to
49200010,3,Conceptual
50963272,3,Conceptual
49901388,1,How-to
49284122,3,Conceptual
48704511,3,Conceptual
49668479,2,Debug
48188581,2,Debug
50217920,2,Debug
49595319,2,Debug
52035929,3,Conceptual
48627656,2,Debug
48634149,1,How-to
48134784,1,How-to
49984282,3,Conceptual
49096178,2,Debug
50619731,2,Debug
50408568,1,How-to
50083054,2,Debug
52980893,2,Debug
51576166,2,Debug
52956916,1,How-to
50477808,2,Debug
53026199,2,Debug
53863436,1,How-to
53003890,1,How-to
53601869,1,How-to
48794471,3,Conceptual
51977903,2,Debug
48631153,3,Conceptual
53024087,2,Debug
50382037,3,Conceptual
53959598,3,Conceptual
51855658,2,Debug
53311181,2,Debug
51340811,1,How-to
48842485,2,Debug
48348100,1,How-to
52360389,2,Debug
53825476,2,Debug
50822221,2,Debug
53355389,2,Debug
48362093,2,Debug
48211005,2,Debug
52797020,2,Debug
51145819,3,Conceptual
51700619,2,Debug
50057953,2,Debug
52362460,2,Debug
48913475,2,Debug
53767075,2,Debug
50488416,1,How-to
48813318,2,Debug
52845629,2,Debug
49736090,2,Debug
52639517,2,Debug
50569409,3,Conceptual
49833268,2,Debug
53782363,1,How-to
48964620,2,Debug
52245717,2,Debug
52585431,2,Debug
53530683,2,Debug
48206241,2,Debug
50868588,2,Debug
51511549,2,Debug
53095990,1,How-to
53199168,2,Debug
49045316,2,Debug
50175587,3,Conceptual
50448342,1,How-to
48817881,1,How-to
52581934,3,Conceptual
51380875,2,Debug
53352138,3,Conceptual
52921965,2,Debug
51202771,3,Conceptual
52808781,1,How-to
52821127,2,Debug
48594344,2,Debug
52699084,3,Conceptual
53140776,1,How-to
52068233,2,Debug
48385324,1,How-to
51685337,2,Debug
48611561,2,Debug
48473013,2,Debug
49761153,3,Conceptual
48565741,2,Debug
48909589,1,How-to
48189561,2,Debug
53593961,2,Debug
49486985,1,How-to
48521444,3,Conceptual
50551609,2,Debug
48973644,2,Debug
51537853,2,Debug
49723871,2,Debug
50053688,3,Conceptual
53343360,2,Debug
53332237,2,Debug
52256642,1,How-to
49101113,1,How-to
50112518,1,How-to
52470435,3,Conceptual
51025242,2,Debug
49803256,2,Debug
51364773,1,How-to
50868029,2,Debug
51916924,1,How-to
53685461,1,How-to
53689987,2,Debug
49275633,1,How-to
51418220,3,Conceptual
51487883,3,Conceptual
50931889,2,Debug
53454286,1,How-to
51904978,2,Debug
49982034,1,How-to
51407230,3,Conceptual
50740890,2,Debug
49255380,1,How-to
50318413,2,Debug
48557402,3,Conceptual
48267257,1,How-to
51429480,2,Debug
50872980,2,Debug
51818175,2,Debug
51437328,2,Debug
50126124,3,Conceptual
51313395,2,Debug
49764868,1,How-to
48207611,2,Debug
52730774,2,Debug
53233937,3,Conceptual
48208062,1,How-to
48360043,1,How-to
52368277,2,Debug
50682097,2,Debug
52862592,2,Debug
49339262,2,Debug
50537682,1,How-to
53143772,2,Debug
48447543,2,Debug
49527197,1,How-to
49660208,1,How-to
51569633,2,Debug
53472972,2,Debug
53222766,2,Debug
53665159,2,Debug
50626970,2,Debug
50464254,2,Debug
49412240,1,How-to
53048816,2,Debug
51004760,2,Debug
52630232,3,Conceptual
48683111,3,Conceptual
49252268,2,Debug
50493164,1,How-to
50576819,4,Architecture
52980798,3,Conceptual
50559464,1,How-to
49489191,2,Debug
50751474,1,How-to
50653366,1,How-to
50174436,2,Debug
51921436,1,How-to
48597984,1,How-to
49011758,2,Debug
48537483,2,Debug
49683720,3,Conceptual
51216182,1,How-to
48111678,2,Debug
51221705,2,Debug
52084102,2,Debug
48753674,2,Debug
52897689,3,Conceptual
49326682,1,How-to
48244592,2,Debug
48888823,1,How-to
50705066,2,Debug
50458191,1,How-to
53401333,2,Debug
51304684,2,Debug
51447801,1,How-to
50352408,2,Debug
53615650,3,Conceptual
53728062,2,Debug
52526176,1,How-to
50971246,3,Conceptual
51839572,2,Debug
48843008,2,Debug
48745556,1,How-to
49539323,2,Debug
53549920,3,Conceptual
51590196,2,Debug
50821910,3,Conceptual
51508344,2,Debug
48540501,2,Debug
52827368,2,Debug
49674800,1,How-to
51534538,2,Debug
50542261,2,Debug
50801116,2,Debug
53081244,2,Debug
50521991,1,How-to
52109803,3,Conceptual
52072476,1,How-to
48837424,2,Debug
50256616,2,Debug
51983719,2,Debug
49038611,1,How-to
51077420,1,How-to
48507535,2,Debug
48498770,2,Debug
50112842,3,Conceptual
49568798,2,Debug
52374939,2,Debug
51065893,2,Debug
48988162,3,Conceptual
50191921,3,Conceptual
49078164,2,Debug
49069374,2,Debug
50768698,1,How-to
48296029,2,Debug
49027545,2,Debug
50504243,2,Debug
52556579,2,Debug
50019229,3,Conceptual
48289377,1,How-to
49876275,3,Conceptual
51856794,3,Conceptual
51550870,3,Conceptual
52988829,1,How-to
51669912,2,Debug
50408216,3,Conceptual
51167000,3,Conceptual
53369097,1,How-to
48328511,2,Debug
53075969,1,How-to
50561222,2,Debug
49975230,2,Debug
48807695,2,Debug
51867263,2,Debug
50770485,2,Debug
52523805,2,Debug
50315704,2,Debug
51050403,2,Debug
53109395,2,Debug
52528744,1,How-to
51307608,2,Debug
48252104,2,Debug
50408438,2,Debug
51382276,2,Debug
50978464,2,Debug
49604003,2,Debug
49390800,2,Debug
50085349,1,How-to
49520034,1,How-to
53799003,1,How-to
51809898,3,Conceptual
51673365,2,Debug
50630946,2,Debug
50313148,2,Debug
53500698,2,Debug
51968294,3,Conceptual
49226020,1,How-to
53144994,3,Conceptual
52365027,3,Conceptual
51340276,2,Debug
52890853,1,How-to
53504718,2,Debug
49437484,2,Debug
49051721,2,Debug
50398654,1,How-to
51066444,2,Debug
51557831,2,Debug
48132694,2,Debug
50432046,1,How-to
51516796,2,Debug
48528776,1,How-to
49194368,1,How-to
53387223,1,How-to
48325593,2,Debug
49878795,3,Conceptual
51184158,1,How-to
49325440,2,Debug
49118753,2,Debug
48295028,2,Debug
51232978,1,How-to
48854804,1,How-to
48460027,2,Debug
52738472,2,Debug
52194265,2,Debug
51732232,2,Debug
52024814,2,Debug
48653154,1,How-to
49620738,1,How-to
51045181,1,How-to
53158840,3,Conceptual
48504782,2,Debug
51645549,2,Debug
49068195,2,Debug
52059225,2,Debug
53467745,2,Debug
50030846,1,How-to
51348560,3,Conceptual
51354141,1,How-to
50249640,1,How-to
51687412,2,Debug
51181665,1,How-to
48233400,1,How-to
53232299,2,Debug
53516478,1,How-to
53591809,2,Debug
50228185,2,Debug
48978699,1,How-to
48428801,1,How-to
49615883,3,Conceptual
50707435,2,Debug
49091423,1,How-to
50725371,2,Debug
50633156,2,Debug
51971865,1,How-to
53399256,2,Debug
50277331,2,Debug
53811375,1,How-to
49069905,2,Debug
52620706,2,Debug
51090445,1,How-to
53695548,2,Debug
51083682,2,Debug
48972952,1,How-to
49778316,2,Debug
53841590,2,Debug
49465222,3,Conceptual
48668063,3,Conceptual
52960188,2,Debug
49241077,2,Debug
51916003,2,Debug
48295187,2,Debug
