variable,coefficient,std_error,t_stat,p_value,sig,model
const,-4.444449081128153e-19,0.0011320633036912735,-3.925972219606727e-16,0.9999999999999996,,M1_pct_accepted
did_copilot_beta,0.003266890938491183,0.014905724879585688,0.2191702157984542,0.8265637547757105,,M1_pct_accepted
did_copilot_ga,-0.003417120876300107,0.022146652798650707,-0.15429513919630763,0.8774092587539846,,M1_pct_accepted
did_chatgpt,0.004380024588378407,0.02605989571871155,0.16807529222895,0.8665592282017249,,M1_pct_accepted
did_gpt4,-0.060350434959170314,0.02746954201919936,-2.1969945810159275,0.02825770278970996,*,M1_pct_accepted
did_llama2,-0.020249790801823646,0.043433159531187066,-0.4662288219507341,0.6411568337933786,,M1_pct_accepted
did_code_llama,-0.023440849720589685,0.04153004389236749,-0.5644311328285813,0.5725917852172215,,M1_pct_accepted
did_devin,0.06670086036593381,0.041530043892365996,1.6060869220076766,0.10858162942370564,,M1_pct_accepted
covid,-1.2868167120898163e-17,18826941548261.76,-6.834974808792692e-31,1.0,,M1_pct_accepted
const,1.3333347243384459e-18,0.000951480232954205,1.4013267729153335e-15,0.9999999999999989,,M2_avg_answers_lt
did_copilot_beta,-0.028990801410783876,0.014903039597429807,-1.9452945301026818,0.05202906153666098,,M2_avg_answers_lt
did_copilot_ga,-0.04185860594470988,0.022142663055645714,-1.8904052254020636,0.05900258048468565,,M2_avg_answers_lt
did_chatgpt,0.01276731426084764,0.026055201000841546,0.49001020028343956,0.624237831217944,,M2_avg_answers_lt
did_gpt4,-0.10547618404721819,0.027464593352052324,-3.8404422266582134,0.00013080907783225015,***,M2_avg_answers_lt
did_llama2,-0.00351020623820805,0.043425335001403706,-0.08083314125485927,0.9355913775463769,,M2_avg_answers_lt
did_code_llama,-0.05165894015763905,0.04152256221088616,-1.2441173522787903,0.21375785527902047,,M2_avg_answers_lt
did_devin,-0.004354923350055467,0.041522562210884684,-0.10488089169299558,0.9164920713831537,,M2_avg_answers_lt
const,-4.444449081128153e-18,0.007655693859183325,-5.805416416693375e-16,0.9999999999999996,,M3_question_count_lt
did_copilot_beta,-0.010122015895599051,0.11991117080274714,-0.0844126183393679,0.9327458470362222,,M3_question_count_lt
did_copilot_ga,0.26003245096920974,0.17816181956271004,1.4595296096966643,0.14474416365180343,,M3_question_count_lt
did_chatgpt,-0.39111066236462205,0.20964244489094966,-1.8656081909751971,0.062398830499045266,,M3_question_count_lt
did_gpt4,0.21699017586031438,0.2209825400339074,0.9819335764129581,0.3263781778921986,,M3_question_count_lt
did_llama2,0.23998526840746778,0.3494040748182585,0.6868416418219948,0.49234719794157034,,M3_question_count_lt
did_code_llama,-0.4631615326516089,0.33409419715263666,-1.3863201953190634,0.16596870246448003,,M3_question_count_lt
did_devin,0.14769590276826722,0.33409419715262473,0.44207862341528514,0.658531162068225,,M3_question_count_lt
const,-4.444449081128153e-19,0.0011396265956175942,-3.899916953692702e-16,0.9999999999999996,,R1_chatgpt_only_pct_accepted
did_chatgpt_only,-0.0601860783208473,0.010785752589318926,-5.58014638500509,3.115916635820781e-08,***,R1_chatgpt_only_pct_accepted
covid,-8.51837950695249e-18,18952723962147.082,-4.494541008440601e-31,1.0,,R1_chatgpt_only_pct_accepted
const,2.155874471667144e-18,0.001218016609960762,1.7699877440395457e-15,0.9999999999999987,,R2_no_covid_pct_accepted
did_copilot_beta,0.017748114405531323,0.020156004366788022,0.8805373367935815,0.37889125229382103,,R2_no_covid_pct_accepted
did_copilot_ga,-0.014617045319685827,0.025931405920654408,-0.5636811734933094,0.57316406058845,,R2_no_covid_pct_accepted
did_chatgpt,0.004380024588378409,0.027504409458294,0.15924808693020695,0.873522509887944,,R2_no_covid_pct_accepted
did_gpt4,-0.06035043495917026,0.028992193195362195,-2.081609851055503,0.03776586966952444,*,R2_no_covid_pct_accepted
did_llama2,-0.02024979080182389,0.04584068243049225,-0.4417427867163286,0.658821143134535,,R2_no_covid_pct_accepted
did_code_llama,-0.023440849720589553,0.04383207608986922,-0.5347875759416143,0.5929782442535152,,R2_no_covid_pct_accepted
did_devin,0.06670086036593383,0.04383207608986703,1.5217362789109032,0.12855776875273772,,R2_no_covid_pct_accepted
