variable,coefficient,std_error,t_stat,p_value,sig,model
const,6.666673621692229e-19,1.0702329615596717e-16,0.00622917987124668,0.9950311505001093,,M_median_body_len
did_copilot_beta,0.0020604334589571782,0.03409675695817565,0.06042901562411295,0.9518264360247186,,M_median_body_len
did_copilot_ga,0.05297531663172975,0.02523192994196287,2.099534865290952,0.036028451594267485,**,M_median_body_len
did_chatgpt,-0.0852494785591518,0.058425687216060736,-1.4591095564506673,0.14485970120749614,,M_median_body_len
did_gpt4,-0.0024594844223804675,0.027085319460871678,-0.09080507342486832,0.9276662841172629,,M_median_body_len
did_llama2,0.017037584425352758,0.14918656908908468,0.11420320561952868,0.9091004174963804,,M_median_body_len
did_code_llama,-0.04206935389575089,0.16095416602829082,-0.26137474371652103,0.7938591892973361,,M_median_body_len
did_devin,-0.19134056416171732,0.07749302159782917,-2.4691328356601003,0.013715963271286435,**,M_median_body_len
const,-4.444449081128153e-19,4.184788596812626e-17,-0.010620486503220974,0.9915284277065828,,M_median_code_blocks
did_copilot_beta,0.24191915606355852,0.2854392012021837,0.8475330474744468,0.3969077919542048,,M_median_code_blocks
did_copilot_ga,-0.21853052617186366,0.1724971691252257,-1.2668644203269197,0.20550881020580247,,M_median_code_blocks
did_chatgpt,0.27236776023959175,0.08775092716001194,3.103873304300648,0.0019655808758558546,***,M_median_code_blocks
did_gpt4,-0.4339189036398969,0.4631545455116318,-0.9368771349540804,0.3490556810474583,,M_median_code_blocks
did_llama2,-1.3939833768501209,0.3760665391907159,-3.706746630130753,0.0002218628842318715,***,M_median_code_blocks
did_code_llama,1.3835032873298727,0.5095176000495215,2.7153199167122115,0.006739176110205802,***,M_median_code_blocks
did_devin,-0.0336283159247405,0.3037817680600801,-0.11069892752118585,0.9118780668891686,,M_median_code_blocks
const,5.000005216269172e-19,1.0182556274212038e-17,0.04910363450612101,0.960846846876485,,M_frac_with_code
did_copilot_beta,-0.013307511936718601,0.0083844054078626,-1.5871741989287975,0.11280010634637438,,M_frac_with_code
did_copilot_ga,0.012679453329064488,0.0029582401710117508,4.286147370085903,1.999952084541512e-05,***,M_frac_with_code
did_chatgpt,-0.02135058637557523,0.007765890983084722,-2.7492771173430084,0.006084018811587599,***,M_frac_with_code
did_gpt4,0.011773620023666267,0.01283679811594791,0.917177314570306,0.35927841764413193,,M_frac_with_code
did_llama2,-0.0038363499743386854,0.011435927856448107,-0.3354646883484468,0.737347341570981,,M_frac_with_code
did_code_llama,-0.013320186692359398,0.00848309035486198,-1.5702045050982034,0.11669467563193314,,M_frac_with_code
did_devin,-0.10121596538282777,0.01973558933369782,-5.128601110989125,3.525958489625225e-07,***,M_frac_with_code
