variable,coefficient,std_error,t_stat,p_value,sig,model
const,1.422223705961009e-17,0.0065803377720177626,2.161323256093137e-15,0.9999999999999982,,M1_avg_views_lt
did_copilot_beta,0.24924983297640058,0.10306786308777025,2.4183079527334828,0.015776745189624908,*,M1_avg_views_lt
did_copilot_ga,-0.26329643067260017,0.15313634170384346,-1.7193595442014655,0.0858689320441044,,M1_avg_views_lt
did_chatgpt,0.2721391551302679,0.18019504490494725,1.5102477167106403,0.13130690605397644,,M1_avg_views_lt
did_gpt4,-0.07612542599326047,0.18994225499198178,-0.40078194289350744,0.6886692085383297,,M1_avg_views_lt
did_llama2,-0.1478201710748418,0.30032507484158655,-0.49220056351542735,0.622689286729917,,M1_avg_views_lt
did_code_llama,-0.5754690630852942,0.28716569724092456,-2.003961714837029,0.045352691661752154,*,M1_avg_views_lt
did_devin,-0.8891258551040357,0.2871656972409143,-3.096211921015462,0.0020165674422649715,**,M1_avg_views_lt
const,7.111118529805045e-18,0.006674627462765742,1.0653955699361886e-15,0.9999999999999991,,M2_total_views_lt
did_copilot_beta,0.24117293366644849,0.10454472298057498,2.30688768204264,0.02127164370963186,*,M2_total_views_lt
did_copilot_ga,-0.0008689269577808838,0.15533063306118589,-0.005594047617372467,0.995537772852217,,M2_total_views_lt
did_chatgpt,-0.11726414892576727,0.18277706054716192,-0.6415692897933963,0.5213049161139676,,M2_total_views_lt
did_gpt4,0.1452900222340371,0.19266393845317534,0.754111139845447,0.4509660775937807,,M2_total_views_lt
did_llama2,0.09534104255217941,0.3046284342452778,0.3129748632572284,0.7543672460306525,,M2_total_views_lt
did_code_llama,-1.0407698664915208,0.29128049586135646,-3.5730846427386815,0.000370212585367069,***,M2_total_views_lt
did_devin,-0.7497409720668019,0.2912804958613461,-2.5739484198890197,0.01020242091622725,*,M2_total_views_lt
const,1.422223705961009e-17,0.0065803377720177626,2.161323256093137e-15,0.9999999999999982,,M3_views_per_question_lt
did_copilot_beta,0.24924983297640058,0.10306786308777025,2.4183079527334828,0.015776745189624908,*,M3_views_per_question_lt
did_copilot_ga,-0.26329643067260017,0.15313634170384346,-1.7193595442014655,0.0858689320441044,,M3_views_per_question_lt
did_chatgpt,0.2721391551302679,0.18019504490494725,1.5102477167106403,0.13130690605397644,,M3_views_per_question_lt
did_gpt4,-0.07612542599326047,0.18994225499198178,-0.40078194289350744,0.6886692085383297,,M3_views_per_question_lt
did_llama2,-0.1478201710748418,0.30032507484158655,-0.49220056351542735,0.622689286729917,,M3_views_per_question_lt
did_code_llama,-0.5754690630852942,0.28716569724092456,-2.003961714837029,0.045352691661752154,*,M3_views_per_question_lt
did_devin,-0.8891258551040357,0.2871656972409143,-3.096211921015462,0.0020165674422649715,**,M3_views_per_question_lt
const,1.422223705961009e-17,0.0067564608429101026,2.104983273089521e-15,0.9999999999999982,,R1_chatgpt_only_avg_views
did_chatgpt_only,-0.23465760671219005,0.07606762189624436,-3.0848553019346547,0.0020940255622845516,**,R1_chatgpt_only_avg_views
